id,salinity,temperature
149,32.88,11.6
150,32.86,11.69
152,32.86,11.66
153,32.86,11.64
154,32.863,11.64
155,32.88,11.64
156,32.882,11.61
157,32.9,11.36
158,32.927,11.18
159,33.1,10.2
160,33.165,9.9
161,33.425,8.83
162,33.58,8.29
163,33.638,8.11
164,33.8,7.65
166,33.916,6.98
167,33.93,6.72
168,33.944,6.54
169,33.98,5.96
170,33.996,5.78
171,34.073,5.09
172,34.13,4.68
173,34.154,4.54
174,34.225,4.17
175,34.286,3.88
176,34.31,3.78
177,34.321,3.67
178,34.342,3.48
179,34.363,3.28
180,34.385,3.08
181,34.408,2.88
182,34.42,2.78
183,33.17,12.5
184,33.24,12.66
185,33.212,12.66
186,33.057,12.64
187,33.04,12.64
188,33.068,12.64
189,33.17,12.64
190,33.159,12.64
191,33.13,12.63
192,33.158,12.64
193,33.22,12.66
